ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_L1,2021,286.39,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_M,OCU_SKILL_X,2021,788.52,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_TOTAL,2021,500.89,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_L3-4,2021,1111.75,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_L2,2021,295.27,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_L1,2021,171.95,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_F,OCU_SKILL_X,2021,,U,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_TOTAL,2021,553.03,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_1,2021,810.06,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_2,2021,1164.88,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_3,2021,904.78,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_4,2021,693.41,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_5,2021,332.46,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_6,2021,153.3,,,T30:2,R1:3513
AGO,SDG_0851_SEX_OCU_NB,BA:13951,SEX_T,OCU_ISCO08_7,2021,234.19,,,T30:2,R1:3513
