ref_area,indicator,source,sex,time,obs_value,obs_status,note_indicator,note_source
AZE,SDG_0861_SEX_RT,BA:125,SEX_M,2010,6.96,,,S3:24_S5:38_T3:2479
AZE,SDG_0861_SEX_RT,BA:125,SEX_F,2010,12.39,,,S3:24_S5:38_T3:2479
AZE,SDG_0861_SEX_RT,BA:125,SEX_T,2009,9.4,,,S3:24_S5:38_T3:2479
AZE,SDG_0861_SEX_RT,BA:125,SEX_M,2009,7.11,,,S3:24_S5:38_T3:2479
AZE,SDG_0861_SEX_RT,BA:125,SEX_F,2009,11.71,,,S3:24_S5:38_T3:2479
BDI,SDG_0861_SEX_RT,BB:7040,SEX_T,2020,11.17,,,R1:3513
BDI,SDG_0861_SEX_RT,BB:7040,SEX_M,2020,11.46,,,R1:3513
BDI,SDG_0861_SEX_RT,BB:7040,SEX_F,2020,10.94,,,R1:3513
BDI,SDG_0861_SEX_RT,BB:7040,SEX_T,2017,6.19,,,S3:26
BDI,SDG_0861_SEX_RT,BB:7040,SEX_M,2017,6.44,,,S3:26
BDI,SDG_0861_SEX_RT,BB:7040,SEX_F,2017,5.98,,,S3:26
BDI,SDG_0861_SEX_RT,BB:7040,SEX_T,2014,5.07,,,R1:3513
BDI,SDG_0861_SEX_RT,BB:7040,SEX_M,2014,5.18,,,R1:3513
BDI,SDG_0861_SEX_RT,BB:7040,SEX_F,2014,4.98,,,R1:3513
